fatigat;"fatīgo, fatīgāre to cause someone to become weary or miserable: (physically) to wear out, wear down, weary, fatigue; (mentally) to plague, harass, torment, vex, pester"
properat;propero, properāre to do something in haste: to make haste, act quickly, hurry, hasten
desiderat;dēsīdero, dēsīderāre to have a deep desire for something not possessed: to long for, pine for, miss
desideratur;desideror, desiderārī  (passive use of desiderāre) (lit.) to be missed (by those surviving), with the idea of dying or being lost: to be missing, to be lost, to have perished
transfert;transfero, transferre, transtulī, translatum to cause a thing to go across to a new place: to bring over, bring across, convey across, transfer
effundit;"effundo, effundere, effūdī, effūsum to cause a thing to flow out: (generally) to pour out, dump out, spill; (of blood) to shed, spill"
praestat;"praesto, praestāre, praestitī (lit.) to stand out or in front, but often with the idea of accomplishing a duty or task: (of a duty) to fulfill, perform, accomplish, faithfully do; (of a promise) keep, stand by"
transit;transeo, transīre, transiī, transitum to travel across or over: transeo, transire, {transi}i, {transit}um
copulat;cо̄pulo, cо̄pulāre to cause multiple things to be together: to join, connect, unite, bind, tie together
convocat;"convoco, convocāre to order many to gather together into one place: to call together, summon, assemble; (of troops) to muster"
excurrit;excurro, excurrere, excurrī, excursum to run out of a place or forward: to run out, sprint out, issue forth from, pop out of
procurrit;prо̄curro, prо̄currere, prо̄currī, prо̄cursum to run in a forward direction: to run forth, rush on, charge
erumpit;"ērumpo, ērumpere, ērupī, ēruptum to exit a place with great speed and violence: to burst out, erupt; (of encamped soldiers) to sally forth"
vulnerat;vulnero, vulnerāre to cause physical or emotional damage to someone: to wound, damage, harm, bruise
citra;citrā  (+ acc.) located on the nearer side of: on this side of, on the near side of, this side of
ultra;ultrā  (+ acc.) located on the far side of: on the far side of, beyond, past
secundum;"secundum  (+ acc.) located or moving in parallel with: along side of, along; (of rivers) along, downstream of, with"
servitus;servitūs servitūtis f the state of enslavement: enslavement, servitude, subjugation, bondage
incola;incola, ae, m. one who inhabits a place: an inhabitant, occupant, settler, native, dweller
vis;"vīs, vim   (acc.),  vī  (abl.),  f.  (no genitive or dative in singular) the ability to accomplish things (considered abstractly): power, force, strength, energy;   violence examples: vis equorum magna est. = the strength of horses is great milites portam vi aperiunt. = the soldiers open the gate by force. vir vim fluvii sustinere non potuit. = the man was unable to stand against the force of the oncoming water."
vires;vīrēs, vīrium, f. the concrete faculties employed to achieve something: abilities, faculties, efforts, powers, physical or mental strength , troops, etc. examples: senex viribus fractis = an old man whose former strength is lost omnibus viribus conatur = he tries with all his might roma viribus praestabat. = rome stood above the rest in military power.
audacia;"audācia, ae, f. the absence of fear, whether in a good sense or a bad sense: (good sense) boldness, fearlessness, daring, determination, chutzpah; (bad sense) audacity, nerve, recklessness "
inopia;inopia, ae, f. a short supply of something: lack, shortage, dearth, scarcity, paucity, sparsity, scantness, etc.
populus;populus, ī, m. the inhabitants of a place (regardless of class) considered as a body: the populace, the multitude, the people
classis;"classis, is, f. an organized group, especially of warships: (of ships) fleet, navy; (of soldiers) army; (of other things) group, division, class"
victoria;"victoria, ae, f. the successful outcome of a struggle (friendly or violent): (of war or contests): a win, victory, conquest; (in general) success"
gens;gens, gentis, f. a group of families related by blood, language, and customs: tribe, people, race, nation, people
victor;victor, victо̄ris, m. one who obtains victory: conqueror, winner, victor
gratia;"gratia, ae, f. a loving disposition (especially between unequals) or some good thing given out of that loving disposition: (of the disposition itself) goodwill, friendliness, a soft spot, favor; (of a deed) a gift, boon, act of kindness, favor"
poeta;poēta, poētae, m. one who writes verses: a poet, versifier, song-writer
amicitia;amīcitia, ae, f. a loving disposition (especially between equals): friendship, friendliness, love (between friends)
pirata;pīrāta, ae, m. one who robs others at sea: pirate
condicio;condicio, condiciо̄nis, f. a point in a formal agreement between two or more parties: a stipulation, agreement, provision, term
talentum;talentum, ī, n. a greek measurement of gold or silver (about 60 to 70 lbs.): talent, half a hundred-weight
amphitheatrum;amphitheātrum, ī, n. an oval building designed for public spectacles: an amphitheater, coliseum
cursus;"cursus, cursūs, m. (lit.) running, but usually the act itself or the route of travel: (of people) a course, track, path for running; (of vehicles) a course, path, route"
cunctus;"cunctus, a, um including all instances of a group or all members of a whole: (of a group) all, every; (of a whole) the whole, entire, all"
infestus;infestus, a, um that has been made unsafe: dangerous, perilous, hostile, destructive
vilis;vīlis, is, e that which is frequent and therefore of little value: cheap, commonplace
carus;"carus, a, um that is not frequent and therefore highly valued: (of supply) in short supply, short, scanty, rare; (of value) prized, cherished, dear, special"
egregius;ēgregius, a, um (lit.) that which stands out from the herd in a good sense: exceptional, outstanding, remarkable, excellent
proximus;proximus, a, um that which is most close: closest, neighboring, nearby, adjacent, contiguous
communis;commūnis, is, e that which is possessed by many: held in common, shared
gratus;"gratus, a, um that which feels goodwill toward or creates the goodwill in others: (of persons in response to a favor) thankful, grateful, appreciative; (of people or things) pleasing,  gratifying, popular with, loved by"
internus;internus, a, um that which is located within: inner, interior, internal
mercatoria;mercātо̄rius, a, um that which is related to the selling of goods wholesale: mercantile, merchant, business
nubilus;nubīlus, a, um that which is dark with clouds: cloudy, overcast
adversus;"adversus, a, um turned towards, especially with the idea of opposition: (of simple movement) towards; (of opposition) against, in opposition to"
inermis;inermis, is, e that has no weapons or equipment: unarmed, helpless, unequipped
mutuus;mutuus, a, um that has been given as a loan: on loan, borrowed
submergit;submergo, submergere, submersī, submersum to put underneath a liquid: to submerge, dip under, plunge under, dunk under: 
contemnit;contemno, contemnere, contempsi, contemptum to look down upon in disdain: to despise, have contempt for, slight, disregard
praeponit;"praepо̄no, praepо̄nere, praeposuī, praepositum to put in front of, but especially to put in a position of authority: (physically) to place before, position in front; (of authority) to put over, put in charge of"
percurrit;"percurro, percurrere, percurri, percursum 
(lit.) to go quickly through a place, sometimes with the idea of watching over it: (generally) to run through, go over quickly, quickly traverse; (military) to patrol"
tuetur;"tueor, tuērī (lit.) to gaze carefully at, often with the idea of protecting: (generally) to gaze upon, stare at, examine closely; (with the idea of protection) to watch over, protect, guard"
remigat;remigo, remigāre to drive by means of oars: to row, paddle
adiuvat;adiuvo, adiuvāre, adiūvī, adiūtum, adiuvātum to give aid to one in need: to help, assist, aid, succor
flectit;"flecto, flectere, flexī, flexum to cause something to become curved: to bend, curve; (of a vehicle's course) to turn, change"
educit;ēdūco, ēdūcere, ēdūxī, ēductum (lit.) to pull out: to draw, draw out, unsheath, ready
repugnat;repugno, repugnāre to fight against an attacking force: to fight back, defend oneself, resist
dissuadet;dissuadeo, dissuadēre, dissuāsī, dissuāsum to urge someone not to do something: to dissuade, urge not to, argue against
praefert;"praefero, praeferre, praetulī, praelatum 
 
 (lit.) to put something before others being compared in order of preference or importance: to put over, place before, prefer, favor"
minatur;minor, minārī to promise death or pain: to threaten, forewarn, intimidate
armat;armo, armāre to furnish with weapons or equipment: to arm, equip
desistit;desisto, desistere, destitī, destitum to cease from an activity: to quit, cease, desist
offert;offero, offerre, obtulī, oblātum to bring before, especially in presenting an option: to offer, present, afford
redimit;redīmo, redīmere, redēmī, redeptum to purchase back: to buy back, redeem, ransom
meminit;"--, meminī, --  (imp. sg.:  memento ; pl.  mementо̄te ) to recall something to mind: to remember, call to mind, recollect"
refert;"refero, referre, retulī, relātum (lit.) to bring back, but often with the idea of bringing back something profitable: (generally) to bring back, return; (of worthwhileness) to matter, have some point "
reminiscitur;reminiscor, reminiscī to recall something to mind: to remember, call to mind, recollect
scalpellum;scalpellum, ī, n. an extremely sharp knife: a scalpel, razor, pocket knife.
opera;opera, ae, f. the act of doing work: labor, effort, exertion
ludus;lūdus, ī, m. any form of entertainment: a game, show, amusement, spectacle, fair
certamen;"certāmen, certāminis, n. the act of competing, either violently or in sport: (friendly) competition, contest, rivalry, match; (hostile) battle, duel"
gladiator;gladiātor, gladiātо̄ris, m. one who fights in the arena: a gladiator
rete;rēte, rētis, n. an instrument for entangling wild animals or fish
spectator;spectātor, spectātо̄ris, m. one who watches: a watcher, viewer, spectator
palma;palma, ae, f. the palm tree, or a branch or fruit thereof: a palm, palm branch, date
circus;circus, ī, m. (lit.) a circle, but especially a circular track for any kind of race: a race track, track, course
auriga;aurīga, ae, m. one who drives a chariot: a charioteer, driver
theatrum;theātrum, ī, n. a place designed for public viewing, especially of a stage play: a theater, auditorium
comoedia;cо̄moedia, ae, f. a stage play that has a happy ending: a comedy
ingenium;ingenium, ī, n. the quality that a person or creature has from birth rather than study and training: nature, inborn talent, natural disposition, innate quality
fatum;fatum, ī, n. the decree of the fates: fate, destiny, doom
gremium;gremium, ī, n. where a child is held by an adult: lap, bosom
tenebrae;tenebrae, ārum, f., pl. the absence of light: the dark, darkness, blackness, gloom
lucerna;lucerna, ae, f. a vessel for burning oil: oil lamp, lamp, light
passer;passer, passeris, m. a common, brown song bird: the sparrow
deliciae;"dēliciae, ārum, f., pl. generally that which pleases the physical senses (sight, hearing, smell, touch, taste), but often to mean a person or animal whose function is purely for pleasure: (generally) delights, amusements, luxuries, allurements, etc.; (of people) mistress, arm candy, boy toy; (of animals) a pet "
ocellus;ocellus, ī, m. a diminutive of  oculus ,  (lit.) little eye, but often with an endearing sense: pretty little eye, cute little eye
mens;mens, mentis, f. the thinking faculty, rational soul: the mind, intellect, consciousness, purpose, intent, will
basium;basium, ī, n. a prolonged, passionate kiss: a french kiss, necking
odium;odium, ī, n. an inveterate desire for another's harm: hatred, ill will, animosity, enmity, aversion
risus;rīsus, rīsus, m. the act of laughing: laughter, laugh, giggle, snicker, chuckle
cachinnus;cachninnus, ī, m. raucous laughter: guffaw, horse laugh
aranea;arānea, ae, f. eight-legged arachnid: spider
epigramma;"epigramma, epigrammatis, n. (lit.) an inscription, but eventually a short, humorous or vindictive poem: an inscription, carving, etching; (poetry) epigram"
sinus;"sinus, sinūs, m. a curve or fold shape in almost anything: (of the toga) a fold or pocket; (of the land) a bay, cove"
versiculus;versiculus, ī, m. a short verse or poem
anus;"anus, anūs, f. a woman of advanced age: an old woman, old wife, old maid; (derogatory) a crone"
testis;testis, is, m. one who witnesses something: a witness, eye-witness, observer
opes;opes, opium, f., pl. in the plural, the word means wealth or means of producing: wealth, money, riches, means
turgidus;turgidus, a, um that is expanded or extended beyond its normal size: swollen, puffed up, puffy, bloated, distended
misellus;"misellus, a, um diminutive of  miser ; inspiring a sense of pity in others: poor, pathetic, pitiful"
gladiatorius;gladiātо̄rius, a, um pertaining to one who fights in the arena: gladiatorial
circensis;circensis, is, e pertaining to a race track: racing, track, circus
scaenicus;scaenicus, a, um pertaining to the stage: theatrical, stage, play
acer;"ācer, ācris, ācre (lit.) sharp but often with a number of figurative meanings: (of people and animals) lively, spirited, active, diligent; (of battle) intense, violent, bloody; (of taste) pungent, bitter; (of sound) piercing, high-pitched"
geminus;geminus, a, um that comes in pairs: twin, doubled
bellus;bellus, a, um of attractive appearance: beautiful, pretty, attractive, handsome
venustus;"venustus, a, um (lit.) like venus, but with a sense of pleasing others: (of appearance) beautiful, handsome; (of manners) charming, winning; (of motion) graceful, elegant"
mellitus;mellītus, a, um (lit.) covered in honey, often just to mean sweet: honeyed, sweet, pleasing
tenebricosus;tenebricо̄sus, a, um covered in darkness: dark, dim, gloomy, murky
ultimus;ultimus, a, um placed beyond all the others: last, ultimate, final
perpetuus;perpetuus, a, um that has no end: endless, infinite, unending, perpetual, eternal
dubius;"dubius, a, um that is full of doubt: (of people) unconfident, indecisive, unsure, uncertain, doubtful; (of things) unclear, dubious, shaky, inconclusive, unconfirmed"
iocosus;iocо̄sus, a, um that is full of jesting: joking, mirthful, light-hearted, jocund
serius;sērius, a, um that is of a grave nature: serious, earnest, grave
niveus;"niveus, a, um full of snow: (lit.) snowy, snow, icy; (of color) snow white"
certat;"certo, certāre to make a competition of something, whether seriously or as a game: (as a game) to compete, contend, strive; (in war) to battle, duke it out"
laedit;laedo, laedere, laesī, laesum to cause harm to another: to wound, harm, hurt, injure
implicat;implico, implicāre, implicuī, implicitum to cause something to become entangled: to entangle, net, trap, ensnare, rope
plaudit;plaudo, plaudere, plausi, plausum to strike together so as to make a loud sound, especially of the hands: to clap, smack, buffet
libet;libet  (impers.) (+ dat. + inf) it is the will: it pleases, it is the will
favet;faveo, favēre, favī, fautus  (+ dat.) to be well disposed toward: to favor, cheer for, root for, be on the side of
luget;lugeo, lugēre, lūxī, luctum to grieve over someone's death: to mourn, grieve, bewail
circumsilit;circumsilio, circumsilīre to leap in random directions: to jump around, hop about, leap here and there
pipiat;pipio, pipiāre to say peep- to cheep, chirp, peep
devorat;dēvoro, dēvorāre to swallow something down: to gulp down, swallow down, devour
conturbat;"conturbo, conturbāre to cause something to become unordered: (of physical things in order) to mess up, shake up, jumble up; (of hair) to dishevel; (of the spirit) to upset, confuse, confound, baffle"
nubit;nubo, nubere, nupsī, nuptum  (+ dat.) (of women) to take a husband: to be married to, to be given in marriage to
requirit;requīro, requīrere, requīsīvī, requisītum to search for something in return: to ask for in return, to look for recompense, to require, demand in return
excruciat;excrucio, excruciāre to inflict extreme pain in a cruel manner: to torture, torment, crucify
oscitat;о̄scito, о̄scitāre to open the mouth wide, usually out of drowsiness: to yawn
sapit;sapio, sapere to have sense or wisdom: to be wise, prudent, sensible
erubescit;ērubesco, ērubescere, ērubuī to become very red, especially out of embarrassment: to blush, go red, redden
prosilit;prо̄silio, prо̄silīre, prо̄siluī to be projected forward: to leap forth, spring forth, jump forward, pop out
accendit;accendo, accendere, accendī, accensum to put a fire to something: to kindle, ignite, light, inflame
unus;"&umacr;nus, a, um  (gen, sg:  unius ; dat, sg:  un&imacr; ) one in number: one, a single"
duo;"duo, duae, duo  (dat/abl, pl:  du&omacr;bus ,  du&amacr;bus ) two in number: two, dual, twin, twain"
tres;"tr&emacr;s, tr&emacr;s, tria three in number: three"
quattuor;quattuor four in number: four
quinque;"qu&imacr;nque five in number: five"
sex;sex six in number: six
septem;septem seven in number: seven
octo;"oct&omacr; eight in number: eight"
novem;novem nine in number: nine
decem;decem ten in number: ten
centum;centum hundred in number: hundred
mille;mille thousand in number: thousand
primus;"pr&imacr;mus, a, um that holds position one in an order: first, foremost"
secundus;"secundus, a, um (lit.) following; that holds position two in an order: second, following"
tertius;tertius, a, um that holds position three in an order: third
quartus;quartus, a, um that holds position four in an order: fourth
quintus;quintus, a, um that holds position five in an order: fifth
sextus;sextus, a, um that holds position six in an order: sixth
septimus;septimus, a, um that holds position seven in an order: seventh
octavus;"oct&amacr;vus, a, um that holds position eight in an order: eighth"
nonus;nonus, a, um that holds position nine in an order: ninth
decimus;decimus, a, um that holds position ten in an order: tenth
poculum;pо̄culum, ī, n. vessel for drinking: cup, goblet, chalice, mug
nemo;nēmо̄, nēminis, c. literally, no person: nobody, no one, not anyone
aut;aut conjunction introducing an exclusive option: or, either ... or
tantus;tantus, a, um demonstrative adjective pointing to the size or quantity of something: so great, so large, so much, of such a quantity, of such a magnitude
quantus;quantus, a, um question asking for magnitude or quantity: how great?, how big?, how important?, how much?
tantus ... quantus;tantus ... quantus parallel construction used to compare size or quantity: as big as, as great as, as much as
viginti;vīgintī twenty in number: twenty
triginta;trīgintā thirty in number: thirty
quadriginta;quādrāgintā forty in number: forty
quinquaginta;quinquāgintā fifty in number: fifty
sexaginta;sexāgintā sixty in number: sixty
septuaginta;septuāgintā seventy in number: seventy
octoginta;oct_gintā eighty in number: eighty
nonaginta;n_nāgintā ninety in number: ninety
ducenti;ducentī, ae, a nine in number: two hundred
trecenti;trecentī, ae, a ten in number: three hundred
quandringenti;quādringentī, ae, a hundred in number: four hundred
quingenti;quingentī, ae, a thousand in number: five hundred
sescenti;sescentī, ae, a that holds position one in an order: six hundred
septingenti;"septingentī, ae, a (lit.) following; that holds position two in an order: seven hundred"
octingenti;octingentī, ae, a that holds position three in an order: eight hundred
nongenti;nongentī, ae, a that holds position four in an order: nine hundred
venit;venio, venīre, vēnī, ventum to come nearer: to come, approach, draw near, draw nigh
ponit;"to position a thing in a place and leave it there: (generally) to put, put down, place, position, deposit; to take off (clothing)"
habet;habeo, habēre to have possession of a thing, legal or physical: to have, hold, possess
malum;"mālum, ī, n. round fruit that grows in temperate climates: (specifically) apple; (generally) fruit"
asinus;asinus, ī, m. beast of burden known for stubbornness: donkey, ass, burro
arbor;arbor, arboris, f. large plant with bark covered stem: tree, shrub
canistrum;canistrum, ī, n. cylindrical container made of twined reeds: basket
aperit;aperio, aperīre, aperuī, apertum to cause a thing to be accessible: to open, open up, uncover
caput;caput, capitis, n. the top and most important part of a thing: (of a person) head
color;color, colо̄ris, m. the quality of light: color, hue, tint
minuit;minuo, minuere, minuī, minūtum to make something smaller or lesser: to reduce, shrink, diminish, lessen
potius;potius , adv. more preferably: rather, instead of
inde;inde , adv. neutral demonstrative of origin: thence, from there, from that place, from thence
demum;dēmum , adv. shows that something has happened after a long wait: finally, at long last, in the end
sane;sānē , adv. shows that sarcasm or that something is obvious:  of course, naturally
ideo;ideо̄ , adv. introduces a consequence: therefore, consequently, and so
neu;neu , adv. introduces an additional negative subjunctive clause: and not, nor
fere;"ferē , adv. shows something to be approximate or general: nearly, about; usually, generally"
libenter;libenter, adv. shows that something is done willingly and gladly: gladly, willingly
osculum;о̄sculum, ī, n. a sign of affection given with the lips: kiss, peck, smooch
adit;adeo, adīre, adiī, aditum to travel by any means in the direction of something: go toward, go to, approach
